10,800	10,800
11,100	11,000
11,300	11,200
11,500	11,300
11,700	11,500
11,900	11,700
12,100	11,900
12,300	12,000
12,500	12,200
12,800	12,400
13,000	12,600
13,200	12,700
13,400	12,900
13,600	13,100
13,800	13,300
14,100	13,400
14,300	13,600
14,500	13,800
14,700	14,000
15,000	14,100
15,200	14,300
15,400	14,500
15,600	14,700
15,900	14,900
16,100	15,100
16,300	15,300
16,600	15,500
16,800	15,700
17,100	15,800
17,300	16,000
17,600	16,300
17,800	16,500
18,100	16,700
18,300	16,900
18,600	17,100
18,900	17,300
19,100	17,500
19,400	17,800
19,700	18,000
20,000	18,200
20,300	18,400
20,600	18,700
20,900	18,900
21,200	19,200
21,500	19,500
21,800	19,700
22,200	20,000
22,500	20,200
22,800	20,500
23,200	20,800
23,500	21,100
23,900	21,400
24,300	21,700
24,600	22,000
25,000	22,300
25,400	22,600
25,800	22,900
26,200	23,300
26,700	23,600
27,100	24,000
27,500	24,300
28,000	24,700
28,500	25,100
29,000	25,500
29,500	25,900
30,000	26,300
30,500	26,800
31,100	27,200
31,700	27,700
32,300	28,200
32,900	28,700
33,500	29,200
34,200	29,800
34,900	30,300
35,600	30,900
36,300	31,500
37,100	32,100
37,900	32,800
38,800	33,600
39,700	34,300
40,600	35,100
41,500	35,900
42,300	36,700
43,200	37,500
44,400	38,400
45,800	39,100
47,300	39,900
49,000	41,000
50,900	42,200
53,100	43,600
55,800	45,300
59,000	47,300
63,200	49,900
68,400	53,200
75,000	57,400
84,100	63,100
97,100	71,500
117,000	81,900
170,000	114,000
